,University,Sex,Rank,TotalCompensation
50,Brock University,female,Professor,173703.88
51,Brock University,male,Associate Professor,169158.36
52,Brock University,male,Associate Professor,193963.9
53,Brock University,male,Associate Professor,117874.86
55,Brock University,male,Associate Professor,119201.42
56,Brock University,male,Associate Professor,108102.9
57,Brock University,male,Professor,131771.34
59,Brock University,female,Associate Professor,130338.42
60,Brock University,male,Associate Professor,160424.4
61,Brock University,female,Professor,119698.92
62,Brock University,female,Associate Professor,116336.4
63,Brock University,male,Professor,130281.9
64,Brock University,male,Professor,147522.42
65,Brock University,male,Associate Professor,204791.38
67,Brock University,female,Professor,203863.38
68,Brock University,female,Associate Professor,102765.09
70,Brock University,female,Associate Professor,178836.92
73,Brock University,male,Associate Professor,152368.92
74,Brock University,female,Professor,158746.38
75,Brock University,female,Professor,158862.88
76,Brock University,male,Associate Professor,190026.36
77,Brock University,male,Professor,166002.9
78,Brock University,female,Professor,153822.9
79,Brock University,male,Associate Professor,131624.4
80,Brock University,male,Associate Professor,117355.38
81,Brock University,female,Associate Professor,125554.38
82,Brock University,male,Professor,152632.38
83,Brock University,female,Assistant Professor,103145.85
87,Brock University,female,Professor,151505.84
88,Brock University,male,Professor,281703.86
89,Brock University,male,Professor,149933.88
90,Brock University,male,Associate Professor,111424.38
93,Brock University,male,Associate Professor,125777.4
94,Brock University,female,Associate Professor,111533.34
96,Brock University,female,Professor,113250.9
97,Brock University,male,Professor,149091.9
98,Brock University,female,Associate Professor,112832.4
99,Brock University,male,Associate Professor,148357.88
100,Brock University,male,Assistant Professor,132778.34
102,Brock University,female,Professor,146139.36
103,Brock University,male,Professor,173233.92
104,Brock University,female,Associate Professor,132216.84
105,Brock University,female,Associate Professor,112102.9
106,Brock University,female,Associate Professor,128955.9
109,Brock University,male,Associate Professor,157303.86
110,Brock University,male,Assistant Professor,200968.36
111,Brock University,female,Associate Professor,109475.54
112,Brock University,male,Associate Professor,175972.92
113,Brock University,male,Professor,165411.9
114,Brock University,male,Professor,156126.36
115,Brock University,male,Associate Professor,151656.36
116,Brock University,female,Associate Professor,113866.38
117,Brock University,male,Associate Professor,129757.88
118,Brock University,male,Professor,144374.4
120,Brock University,male,Professor,165206.4
121,Brock University,male,Associate Professor,132425.9
124,Brock University,female,Associate Professor,126937.88
126,Brock University,male,Assistant Professor,108193.86
128,Brock University,male,Associate Professor,165640.4
130,Brock University,male,Professor,128815.55
131,Brock University,male,Professor,160839.86
132,Brock University,male,Professor,188005.82
133,Brock University,female,Associate Professor,125308.88
136,Brock University,female,Associate Professor,109313.88
137,Brock University,female,Assistant Professor,107401.64
138,Brock University,female,Associate Professor,121447.42
139,Brock University,male,Professor,118216.36
140,Brock University,female,Professor,192716.88
141,Brock University,male,Associate Professor,114141.92
142,Brock University,female,Associate Professor,130542.84
143,Brock University,female,Associate Professor,187169.88
144,Brock University,female,Associate Professor,112797.9
145,Brock University,female,Professor,169831.92
146,Brock University,female,Assistant Professor,101190.56
147,Brock University,male,Associate Professor,117306.9
148,Brock University,female,Professor,120519.9
150,Brock University,female,Assistant Professor,118524.36
151,Brock University,female,Associate Professor,116717.88
152,Brock University,male,Professor,143721.38
153,Brock University,female,Associate Professor,106470.42
155,Brock University,male,Associate Professor,156616.38
157,Brock University,male,Associate Professor,101401.92
158,Brock University,female,Professor,100879.86
159,Brock University,male,Associate Professor,130370.17
160,Brock University,male,Professor,159457.9
161,Brock University,male,Associate Professor,129100.34
164,Brock University,male,Professor,213898.42
165,Brock University,female,Associate Professor,109573.86
166,Brock University,male,Professor,194841.84
168,Brock University,female,Associate Professor,140374.86
169,Brock University,female,Professor,134367.84
170,Brock University,female,Associate Professor,110422.26
172,Brock University,male,Associate Professor,139916.4
173,Brock University,female,Associate Professor,108154.38
174,Brock University,male,Professor,137628.9
175,Brock University,female,Associate Professor,120142.42
176,Brock University,male,Associate Professor,105828.42
177,Brock University,male,Professor,171644.4
178,Brock University,male,Associate Professor,137662.38
179,Brock University,male,Associate Professor,109375.38
180,Brock University,male,Assistant Professor,155109.9
181,Brock University,female,Associate Professor,102909.34
182,Brock University,female,Associate Professor,170251.38
183,Brock University,male,Professor,190956.42
184,Brock University,female,Professor,154071.84
185,Brock University,female,Professor,194990.86
186,Brock University,female,Professor,172911.84
187,Brock University,male,Associate Professor,165367.38
188,Brock University,male,Associate Professor,128788.48
189,Brock University,male,Associate Professor,110969.88
190,Brock University,female,Professor,169050.42
191,Brock University,male,Associate Professor,110002.86
193,Brock University,male,Associate Professor,147079.88
196,Brock University,female,Associate Professor,106741.86
197,Brock University,male,Professor,190635.34
198,Brock University,female,Associate Professor,120020.4
199,Brock University,male,Associate Professor,164161.86
200,Brock University,male,Associate Professor,112792.86
201,Brock University,female,Professor,138821.88
202,Brock University,male,Associate Professor,101511.9
204,Brock University,male,Professor,148467.84
205,Brock University,male,Associate Professor,110697.84
206,Brock University,male,Professor,142017.38
207,Brock University,male,Associate Professor,117632.88
208,Brock University,male,Professor,182388.34
210,Brock University,male,Professor,182204.88
211,Brock University,female,Associate Professor,186842.4
212,Brock University,male,Professor,150290.4
213,Brock University,female,Associate Professor,134303.88
214,Brock University,female,Associate Professor,162791.88
217,Brock University,male,Associate Professor,107966.34
218,Brock University,male,Associate Professor,116765.9
219,Brock University,female,Associate Professor,104636.16
220,Brock University,female,Professor,147041.4
221,Brock University,female,Associate Professor,108525.66
223,Brock University,female,Associate Professor,128275.86
224,Brock University,male,Professor,154803.36
225,Brock University,male,Professor,137832.9
226,Brock University,male,Associate Professor,119242.4
227,Brock University,male,Professor,132896.4
228,Brock University,female,Associate Professor,117510.9
229,Brock University,female,Associate Professor,131247.38
231,Brock University,female,Assistant Professor,107151.42
232,Brock University,male,Associate Professor,118444.92
233,Brock University,female,Associate Professor,112549.38
234,Brock University,male,Professor,170473.38
236,Brock University,female,Associate Professor,120482.4
237,Brock University,female,Associate Professor,130981.38
239,Brock University,female,Associate Professor,115894.4
240,Brock University,male,Associate Professor,104626.86
